Supplier_ID,Country,Region,Industry,Supplier_Tier,Financial_Stability_Score,On_Time_Delivery_Rate,Defect_Rate,Geopolitical_Risk_Index,Lead_Time_Days,Alternative_Suppliers_Available,Contract_Length_Months,Environmental_Compliance,Previous_Disruptions,Delivery_Quality_Index,Supplier_Dependency_Score,Risk_Level
SUP_21933,Poland,Europe,Healthcare,2,43.264067,87.197455,2.379594,31,50,4,29,79.53,1,85.1225,0.2,1
SUP_25161,India,Asia,Retail,3,65.731232,99.911508,3.575601,49,12,3,9,56.38,1,96.3391,0.25,1
SUP_14467,Belarus,Europe,Electronics,3,60.333327,73.013607,3.865647,66,46,8,26,67.74,1,70.1912,0.1111,1
SUP_27645,Sweden,Europe,Manufacturing,2,45.868194,61.081034,5.328252,12,31,4,47,98.25,1,57.8265,0.2,1
SUP_31584,Singapore,Asia,Electronics,3,65.705435,78.125383,2.823989,13,26,7,10,100.86,1,75.9191,0.125,0
SUP_23995,Switzerland,Europe,Retail,3,48.811758,87.711349,6.988644,12,20,2,8,88.84,0,81.5815,0.3333,0
SUP_33019,Philippines,Asia,Energy,2,54.07938,90.636308,9.127514,31,27,5,35,64.2,1,82.3635,0.1667,1
SUP_27394,United States,North America,Manufacturing,3,42.01334,62.361942,5.537928,11,11,3,11,65.9,1,58.9084,0.25,1
SUP_16264,New Zealand,Oceania,Healthcare,2,53.29013,69.869039,0.866337,12,24,5,12,79.78,0,69.2637,0.1667,0
SUP_21484,Chile,South America,Manufacturing,3,48.90439,100,4.606018,31,36,2,4,53.93,1,95.394,0.3333,1
SUP_09898,South Africa,Africa,Energy,1,51.447807,49.049694,7.685904,31,28,1,39,30.76,0,45.2798,0.5,1
SUP_06242,Netherlands,Europe,Retail,2,41.355654,86.362856,5.088627,12,21,4,55,92.45,0,81.9682,0.2,0
SUP_29396,Colombia,South America,Manufacturing,2,57.69009,79.263681,5.183491,31,53,5,34,62.19,2,75.1551,0.1667,1
SUP_10650,Sweden,Europe,Electronics,3,75.552877,82.263534,3.635364,12,46,0,4,96.49,0,79.273,1,0
SUP_19824,Egypt,Africa,Healthcare,2,51.355946,80.930751,4.557952,48,42,4,13,93.24,1,77.2509,0.2,1
SUP_23978,Czech Republic,Europe,Manufacturing,2,32.749966,65.438,5.321293,30,34,1,15,100.22,1,61.9559,0.5,1
SUP_17709,Hungary,Europe,Retail,1,75.23101,78.033425,4.553568,31,17,2,25,86.87,1,74.4801,0.3333,0
SUP_22594,Malaysia,Asia,Manufacturing,2,38.95002,64.099094,3.395506,31,38,0,14,48.33,2,61.9226,1,1
SUP_03127,Vietnam,Asia,Retail,3,33.38137,92.235879,8.086065,31,23,7,32,80.17,0,84.7776,0.125,1
SUP_16083,Morocco,Africa,Manufacturing,3,55.848676,70.658812,4.704109,31,19,6,29,100.77,1,67.3349,0.1429,0
SUP_20731,Denmark,Europe,Healthcare,2,40.657923,60.580976,4.331224,11,9,4,16,78.9,2,57.9571,0.2,1
SUP_24624,Sweden,Europe,Retail,3,49.948544,78.959444,3.068891,12,24,6,8,68.43,1,76.5363,0.1429,0
SUP_07521,Kenya,Africa,Healthcare,2,44.139212,78.942895,3.143811,48,43,4,22,72.54,1,76.4611,0.2,1
SUP_26139,Singapore,Asia,Retail,3,80.550064,83.034399,9.705595,13,5,3,10,100.83,1,74.9754,0.25,0
SUP_29808,Australia,Oceania,Manufacturing,3,52.392316,65.796556,8.317706,11,32,0,2,88.72,2,60.3238,1,1
SUP_17449,Pakistan,Asia,Retail,3,71.320883,90.021499,11.149008,48,7,4,4,90.34,2,79.985,0.2,0
SUP_07117,India,Asia,Healthcare,3,51.50789,67.791518,3.710617,49,42,4,1,100.25,1,65.276,0.2,1
SUP_32906,South Korea,Asia,Manufacturing,2,36.081727,79.838076,5.830029,13,39,2,14,77.15,0,75.1835,0.3333,1
SUP_17169,Canada,North America,Retail,1,48.762413,77.760048,4.857633,13,18,1,27,86.45,1,74.0773,0.5,0
SUP_29129,Egypt,Africa,Retail,2,79.837827,79.565394,6.400861,48,20,3,25,78.91,0,74.4725,0.25,0
SUP_06568,Kazakhstan,Asia,Electronics,2,60.022758,87.964157,0,48,49,3,24,78.33,0,87.9642,0.25,1
SUP_13325,Egypt,Africa,Energy,2,53.919479,87.182463,3.738514,48,37,5,23,61.7,1,83.9231,0.1667,1
SUP_26959,Sweden,Europe,Electronics,2,70.316355,53.254475,4.192988,12,37,4,15,70.38,0,51.0215,0.2,0
SUP_04161,Czech Republic,Europe,Manufacturing,2,46.501135,83.959664,8.255715,30,25,1,16,83.28,0,77.0282,0.5,1
SUP_10390,Poland,Europe,Energy,1,68.6567,94.787763,9.261256,31,44,0,25,74.73,2,86.0092,1,1
SUP_21602,Indonesia,Asia,Retail,2,78.104855,80.250595,3.961092,31,9,4,24,84.55,1,77.0718,0.2,0
SUP_08928,South Africa,Africa,Energy,1,43.131285,58.095446,11.673667,31,38,2,29,71.49,2,51.3136,0.3333,1
SUP_15203,Cameroon,Africa,Retail,2,75.630182,85.89241,0,66,23,5,33,70.15,3,85.8924,0.1667,1
SUP_06560,Malaysia,Asia,Retail,3,60.830419,84.518962,2.083993,31,16,6,26,47.77,0,82.7576,0.1429,0
SUP_05830,Jordan,Asia,Energy,1,62.490434,100,4.581176,49,25,1,35,54.79,3,95.4188,0.5,1
SUP_05038,Peru,South America,Retail,2,32.23665,78.241188,4.026572,48,5,1,15,99.87,3,75.0908,0.5,1
SUP_06490,Indonesia,Asia,Healthcare,1,33.925687,63.542762,1.998983,31,15,2,31,96.7,1,62.2726,0.3333,1
SUP_32422,Jordan,Asia,Electronics,3,73.486887,75.136882,2.267816,49,15,4,11,92.43,4,73.4329,0.2,1
SUP_20979,Iran,Asia,Energy,3,57.262976,65.46853,5.675146,64,45,6,24,78.45,1,61.7531,0.1429,1
SUP_06972,Vietnam,Asia,Electronics,2,79.144161,92.08464,1.791842,31,58,3,18,48.61,1,90.4346,0.25,0
SUP_14832,Netherlands,Europe,Healthcare,2,50.560029,70.430619,2.833624,12,8,0,16,86.95,2,68.4349,1,1
SUP_23887,Romania,Europe,Manufacturing,2,63.401424,61.586296,6.015423,30,21,5,21,78.68,0,57.8816,0.1667,0
SUP_09227,North Korea,Asia,Energy,2,81.880926,71.616622,6.713601,68,25,2,20,75.6,2,66.8086,0.3333,1
SUP_04789,Mexico,North America,Retail,3,83.065388,89.20454,2.805191,31,5,7,17,89.67,1,86.7022,0.125,0
SUP_13896,Nigeria,Africa,Manufacturing,3,69.685232,70.679683,7.578086,48,15,7,10,57.85,1,65.3235,0.125,0
SUP_25939,United Kingdom,Europe,Manufacturing,2,33.383666,64.872504,6.862013,12,0,2,15,76.55,0,60.4209,0.3333,1
SUP_23375,China,Asia,Electronics,1,71.825467,100,4.515795,48,40,1,31,70.77,0,95.4842,0.5,1
SUP_29281,Saudi Arabia,Asia,Energy,2,47.900782,100,7.909028,48,35,4,33,84.92,1,92.091,0.2,1
SUP_07514,Canada,North America,Retail,3,46.494373,100,0.602691,13,22,5,1,45.26,0,99.3973,0.1667,0
SUP_07238,Kazakhstan,Asia,Manufacturing,2,62.622918,56.934156,9.090051,48,14,4,22,62.29,1,51.7588,0.2,1
SUP_32151,Morocco,Africa,Healthcare,2,56.1941,72.092315,0,31,12,0,15,80.47,2,72.0923,1,1
SUP_06289,Egypt,Africa,Energy,2,37.316597,76.939644,7.313852,48,26,5,20,72.85,0,71.3124,0.1667,1
SUP_28734,Kazakhstan,Asia,Manufacturing,3,77.794963,69.543897,7.98831,48,14,7,31,94.29,1,63.9885,0.125,0
SUP_08517,Mexico,North America,Manufacturing,3,49.643114,64.589946,5.211394,31,40,2,3,39.25,2,61.2239,0.3333,1
SUP_07588,Pakistan,Asia,Retail,3,64.356791,100,0,48,19,7,18,64.31,1,100,0.125,0
SUP_05615,Norway,Europe,Manufacturing,2,51.133062,76.226595,10.260906,12,30,3,22,52.95,0,68.4051,0.25,1
SUP_31140,South Africa,Africa,Electronics,3,60.096578,79.690759,2.867786,31,40,2,4,55.48,1,77.4054,0.3333,1
SUP_29651,South Africa,Africa,Manufacturing,3,44.596855,86.738819,6.180353,31,38,6,9,59.54,0,81.3781,0.1429,0
SUP_02983,Colombia,South America,Manufacturing,2,45.366475,79.60978,4.427048,31,26,3,16,51.18,2,76.0854,0.25,1
SUP_28252,Chile,South America,Energy,1,47.442767,62.702318,9.675678,31,29,1,33,75.54,1,56.6354,0.5,1
SUP_28194,Argentina,South America,Electronics,2,58.963346,77.589387,2.584391,48,23,2,21,71.81,1,75.5842,0.3333,1
SUP_26695,Peru,South America,Energy,3,66.688848,78.91005,5.590094,48,41,0,11,100.57,2,74.4989,1,1
SUP_27386,Brazil,South America,Electronics,3,57.250611,75.3713,2.788424,31,30,2,1,78.33,3,73.2696,0.3333,1
SUP_06007,Czech Republic,Europe,Electronics,1,71.159843,80.784282,1.548007,30,30,0,26,69.89,2,79.5337,1,1
SUP_06488,Morocco,Africa,Energy,1,67.821637,89.956851,7.287318,31,29,0,29,94.72,2,83.4014,1,1
SUP_22950,Egypt,Africa,Retail,2,59.443683,99.15503,4.210808,48,23,4,38,48.65,1,94.9798,0.2,1
SUP_32426,Kazakhstan,Asia,Energy,2,75.708079,100,6.142096,48,45,3,40,97.34,2,93.8579,0.25,1
SUP_26253,Thailand,Asia,Electronics,2,56.592041,76.950058,3.560119,30,46,5,17,81.41,2,74.2105,0.1667,0
SUP_05323,Cameroon,Africa,Electronics,2,67.087739,52.303372,3.697652,66,25,4,21,86.46,1,50.3694,0.2,1
SUP_22880,France,Europe,Electronics,3,72.665805,63.179021,2.816255,12,0,2,1,100.74,0,61.3997,0.3333,0
SUP_12152,Poland,Europe,Retail,1,47.064234,87.081412,3.328273,31,5,1,40,30.33,1,84.1831,0.5,1
SUP_02851,Colombia,South America,Energy,2,78.979304,64.308869,10.558808,31,33,4,12,70.92,1,57.5186,0.2,0
SUP_31893,UAE,Asia,Healthcare,2,44.0416,73.63638,2.696093,48,0,1,16,77.31,1,71.6511,0.5,1
SUP_33201,Philippines,Asia,Manufacturing,2,50.879295,75.269701,8.094677,31,23,4,28,97.76,1,69.1769,0.2,1
SUP_28474,Chile,South America,Retail,2,51.09418,78.834591,4.975439,31,21,4,19,78.47,2,74.9122,0.2,1
SUP_08275,Brazil,South America,Retail,2,77.854649,82.339811,0,31,5,3,21,40.47,1,82.3398,0.25,0
SUP_20470,Turkey,Asia,Energy,1,63.021851,81.210807,7.772204,49,25,2,24,87.82,1,74.8989,0.3333,1
SUP_11072,Egypt,Africa,Retail,3,44.044539,89.449774,1.377397,48,15,6,35,65.14,1,88.2177,0.1429,1
SUP_04094,United States,North America,Manufacturing,3,46.626317,75.837017,1.448182,11,44,6,20,32.91,1,74.7388,0.1429,1
SUP_18890,Malaysia,Asia,Manufacturing,1,59.477998,76.361388,4.61281,31,24,1,28,42.16,0,72.839,0.5,1
SUP_09522,Czech Republic,Europe,Electronics,3,75.985354,76.681648,1.326307,30,25,3,1,100.3,2,75.6646,0.25,0
SUP_31821,South Africa,Africa,Retail,2,51.718872,84.99529,4.087228,31,12,5,18,95.3,2,81.5213,0.1667,0
SUP_19537,Vietnam,Asia,Retail,2,78.552882,99.727289,1.858386,31,13,4,26,69.4,1,97.874,0.2,0
SUP_21936,Kenya,Africa,Electronics,3,68.087504,70.749278,3.940399,48,33,6,13,47.56,0,67.9615,0.1429,0
SUP_32682,France,Europe,Manufacturing,3,42.318407,81.611773,7.932254,12,32,2,3,71.54,1,75.1381,0.3333,1
SUP_02048,Poland,Europe,Electronics,2,71.066502,91.632356,0,31,43,3,33,85.58,2,91.6324,0.25,0
SUP_05388,Nigeria,Africa,Healthcare,2,33.000598,70.792888,0.68568,48,44,3,35,100.57,1,70.3075,0.25,1
SUP_33566,Hungary,Europe,Manufacturing,1,73.54451,76.440172,6.969259,31,32,2,34,25.24,3,71.1129,0.3333,1
SUP_11687,Sweden,Europe,Retail,2,36.058752,91.72569,1.825701,12,20,2,20,56.95,0,90.0511,0.3333,1
SUP_30644,Czech Republic,Europe,Retail,3,65.055536,83.455159,2.240564,30,10,0,7,76.71,1,81.5853,1,1
SUP_25267,China,Asia,Healthcare,2,37.212825,55.747415,1.000907,48,44,3,32,75.57,1,55.1894,0.25,1
SUP_25423,Jordan,Asia,Retail,3,57.448528,90.010778,3.508355,49,21,4,1,62.8,0,86.8529,0.2,1
SUP_17792,Thailand,Asia,Manufacturing,2,52.33878,63.347401,12.396671,30,46,3,23,33.73,0,55.4944,0.25,1
SUP_15918,Egypt,Africa,Retail,2,63.864584,93.356314,6.854571,48,5,4,36,79.12,1,86.9571,0.2,1
SUP_03829,Australia,Oceania,Manufacturing,2,69.843892,76.203866,8.555199,11,35,0,12,47.44,0,69.6845,1,0
SUP_15144,Egypt,Africa,Electronics,2,75.947744,88.030334,0.073219,48,33,4,24,100.23,0,87.9659,0.2,0
SUP_12263,Chile,South America,Electronics,2,70.772948,69.160038,3.640738,31,10,3,43,64.44,1,66.6421,0.25,1
SUP_24720,United Kingdom,Europe,Manufacturing,3,65.214424,66.288632,8.868732,12,26,7,32,99.89,0,60.4097,0.125,0
SUP_15008,Thailand,Asia,Retail,3,47.015267,85.808905,5.456884,30,19,0,1,67.55,0,81.1264,1,1
SUP_10839,Malaysia,Asia,Electronics,2,67.387753,59.818851,2.760694,31,51,1,20,63.42,0,58.1674,0.5,1
SUP_18913,France,Europe,Manufacturing,2,64.354852,94.955165,5.303581,12,43,4,14,83.9,1,89.9191,0.2,0
SUP_03059,Romania,Europe,Retail,2,60.322225,77.943934,5.584312,30,0,3,20,82.93,0,73.5913,0.25,0
SUP_28603,Canada,North America,Electronics,2,69.197134,73.488929,4.530736,13,22,2,14,53.43,1,70.1593,0.3333,0
SUP_21861,Singapore,Asia,Manufacturing,2,64.286936,76.412407,8.176493,13,1,2,22,26.14,3,70.1646,0.3333,1
SUP_06955,Indonesia,Asia,Energy,2,75.249977,64.478043,7.095876,31,36,2,22,26.69,1,59.9028,0.3333,1
SUP_03352,China,Asia,Retail,3,42.777759,88.649636,5.290424,48,20,0,1,44.64,0,83.9597,1,1
SUP_20886,Peru,South America,Retail,3,54.084721,87.437888,6.449281,48,22,3,1,41.73,1,81.7988,0.25,1
SUP_31761,Netherlands,Europe,Healthcare,2,18.246977,54.161894,0,12,37,3,17,85.21,1,54.1619,0.25,1
SUP_06314,South Africa,Africa,Energy,2,46.125495,96.295284,9.757558,31,31,4,31,41.15,4,86.8992,0.2,1
SUP_04516,New Zealand,Oceania,Electronics,2,64.199429,54.011322,3.948156,12,16,4,23,71.62,1,51.8789,0.2,0
SUP_10040,Morocco,Africa,Retail,1,61.801162,80.286939,2.634798,31,22,1,24,69.3,0,78.1715,0.5,1
SUP_20715,Nigeria,Africa,Manufacturing,2,48.751207,77.608831,6.388956,48,16,5,24,64.8,1,72.6504,0.1667,1
SUP_05467,Japan,Asia,Retail,2,41.119981,80.561849,7.749078,13,3,3,25,53.74,0,74.319,0.25,1
SUP_12604,Malaysia,Asia,Healthcare,2,46.471962,66.873838,3.572371,31,26,4,17,100.6,0,64.4849,0.2,0
SUP_30439,Ethiopia,Africa,Energy,2,53.3527,70.625162,5.747046,48,33,2,21,100.63,2,66.5663,0.3333,1
SUP_05362,Iran,Asia,Manufacturing,3,48.51282,62.41296,9.201249,64,15,4,2,64.28,2,56.6702,0.2,1
SUP_06231,Jordan,Asia,Energy,2,50.581659,82.596391,3.920716,49,25,3,26,48.57,0,79.358,0.25,1
SUP_04348,Egypt,Africa,Energy,1,53.102928,83.864397,9.45619,48,34,0,26,76.88,1,75.934,1,1
SUP_30428,Pakistan,Asia,Healthcare,3,43.901104,69.348143,3.852249,48,2,6,12,85.33,1,66.6767,0.1429,1
SUP_25335,Denmark,Europe,Manufacturing,2,43.260146,70.054851,8.484643,11,28,1,20,80.25,1,64.1109,0.5,1
SUP_12731,Mexico,North America,Retail,2,47.248826,97.839102,4.751063,31,4,3,12,71.78,0,93.1907,0.25,1
SUP_19669,Mali,Africa,Electronics,3,62.77854,91.127635,2.913875,66,32,2,3,79.68,1,88.4723,0.3333,1
